Name,white_1,white_2,red_1,red_2
IR_957,14,17,12,7
IR_958,36,35,14,13
IR_959,5,9,8,2
IR_961,25,13,10,7
IR_963,3,6,4,1
IR_965,15,14,7,7
IR_967,98,87,93,58
IR_968,11,1,0,0
IR_970,0,0,0,0
IR_971,1,0,0,1
IR_973,0,0,1,0
IR_974,25,6,10,24
IR_975,2,3,40,0
IR_977,218,254,282,191
IR_978,0,0,0,0
IR_979,0,2,7,0
IR_980,91,120,0,43
IR_981,0,0,0,0
IR_982,4,3,1,3
IR_983,84,77,72,32
IR_985,2,5,3,5
IR_986,9,16,7,2
IR_987,32,25,16,4
IR_988,11,14,22,7
IR_989,14,8,17,12
IR_990,39,37,20,20
IR_991,3,7,2,0
IR_992,50,35,30,12
IR_993,87,76,62,23
IR_994,2,1,7,0
IR_995,21,2,13,2
IR_996,127,74,75,47
IR_997,13,16,22,2
IR_998,16,7,5,3
IR_999,1,16,32,0
IR_1000,5,14,28,5
IR_1001,4,10,6,1
IR_1002,15,20,5,2
IR_1003,137,223,256,124
IR_1005,53,44,21,16
IR_1006,3,21,35,48
IR_1007,28,21,8,8
IR_1008,52,49,53,19
IR_1009,20,32,2,9
IR_1010,21,21,35,40
IR_1011,10,4,2,2
IR_1012,17,0,54,36
IR_1013,13,31,11,53
IR_1014,25,7,22,18
IR_1015,17,15,13,1
IR_1016,9,7,4,7
IR_1017,1,8,1,0
IR_1018,45,22,9,30
IR_1019,2,4,1,0
IR_1020,5,7,20,14
IR_1021,3,8,1,2
IR_1023,10,0,3,7
IR_1024,23,7,14,5
IR_1025,24,9,3,8
IR_1026,3,0,1,0
IR_1027,11,8,10,7
IR_1028,19,0,8,1
IR_1029,20,7,11,2
IR_1031,25,27,49,29
IR_1032,34,45,73,66
IR_1033,30,15,65,34
IR_1034,20,60,23,24
IR_1035,179,212,295,214
IR_1036,56,33,29,18
IR_1037,19,13,11,6
IR_1038,26,5,38,0
IR_1039,525,588,545,403
IR_1040,16,21,3,15
IR_1041,46,43,32,14
IR_1042,78,16,35,19
IR_1043,48,36,43,15
IR_1044,3,5,0,0
IR_1045,14,3,10,4
IR_1046,42,41,25,30
IR_1047,43,39,17,16
IR_1048,318,279,200,110
IR_1049,0,3,6,4
IR_1050,20,11,11,8
IR_1052,5,5,8,2
IR_1053,8,0,0,2
IR_1054,91,64,80,28
IR_1055,7,0,9,3
IR_1056,30,5,24,7
IR_1057,3,2,0,9
IR_1058,84,195,104,97
IR_1059,8,7,2,1
IR_1060,12,0,3,0
IR_1061,21,14,0,10
IR_1062,1,1,1,0
IR_1063,173,163,117,69
IR_1064,0,8,25,0
IR_1065,0,0,0,0
IR_1066,12,8,7,1
IR_1067,36,17,8,29
IR_1068,32,20,9,11
IR_1069,0,0,3,1
IR_1070,35,24,12,12
IR_1071,28,11,8,13
IR_1072,18,15,8,8
IR_1073,35,18,19,10
IR_1074,18,29,19,1
IR_1075,63,58,30,13
IR_1076,289,292,81,68
IR_1077,19,10,16,24
IR_1078,1,0,2,2
IR_1079,1,9,0,0
IR_1080,20,19,12,12
IR_1081,7,9,1,2
IR_1082,13,0,0,0
IR_1083,84,79,90,64
IR_1084,11,5,2,2
IR_1085,13,13,9,0
IR_1086,11,13,5,37
IR_1087,66,42,10,0
IR_1089,8,1,20,0
IR_1090,2,2,0,3
IR_1091,41,0,0,19
IR_1092,43,23,30,9
IR_1094,88,69,88,26
IR_1095,91,46,46,14
IR_1096,13,8,19,8
IR_1097,62,83,53,18
IR_1098,107,76,54,0
IR_1100,17,32,0,11
IR_1101,1,13,2,2
IR_1102,4,27,12,1
IR_1105,17,0,0,0
IR_1106,3,5,1,5
IR_1110,0,0,0,3
IR_1111,42,30,16,5
IR_1112,123,97,105,67
IR_1113,111,47,15,42
IR_1114,22,14,15,9
IR_1115,24,16,10,5
IR_1116,39,4,1,0
IR_1117,11,32,9,4
IR_1118,41,45,18,19
IR_1119,29,12,12,15
IR_1120,17,17,12,2
IR_1121,0,4,2,0
IR_1122,91,38,27,18
IR_1123,20,17,16,8
IR_1124,79,95,87,34
IR_1126,6,9,12,0
IR_1127,228,135,210,136
IR_1129,4,3,0,0
IR_1130,10,9,17,5
IR_1131,30,9,16,6
IR_1132,7,6,5,4
IR_1133,1,1,7,0
IR_1134,61,22,32,43
IR_1135,49,18,11,3
IR_1136,4,4,7,1
IR_1137,52,37,29,66
IR_1138,6,12,19,7
IR_1139,2,0,1,7
IR_1141,5,5,0,0
IR_1142,4,5,4,7
IR_1144,38,35,7,8
IR_1146,14,5,8,11
IR_1147,13,34,11,4
IR_1148,153,120,75,67
IR_1149,17,19,29,6
IR_1150,49,38,29,14
IR_1152,4,9,19,3
IR_1153,9,3,12,2
IR_1154,53,26,17,21
IR_1155,20,21,3,1
IR_1156,4,0,13,0
IR_1157,8,4,24,24
IR_1158,9,1,9,8
IR_1159,8,13,7,4
IR_1160,10,23,9,12
IR_1161,28,3,3,0
IR_1163,11,17,7,0
IR_1164,102,24,0,6
IR_1165,19,16,21,1
IR_1166,20,12,19,5
IR_1167,3,7,6,3
IR_1168,33,30,16,8
IR_1169,0,1,7,0
IR_1170,22,36,18,1
IR_1171,81,59,29,25
IR_1172,98,74,40,29
IR_1173,219,185,93,57
IR_1174,105,68,38,26
IR_1175,39,16,16,21
IR_1176,96,76,78,126
IR_1177,21,14,2,24
IR_1178,85,95,35,38
IR_1179,36,32,3,12
IR_1180,0,10,0,0
IR_1181,37,18,39,17
IR_1182,87,87,33,20
IR_1183,50,47,38,12
IR_1184,15,5,1,1
IR_1185,6,17,17,19
IR_1186,75,48,82,42
IR_1187,56,81,65,17
IR_1188,7,3,4,1
IR_1189,26,9,0,5
