"","white_1","white_2","red_1","red_2"
"IR_7825",1.32809420124342,2.60526321281541,8.08775794991444,13.8594048688926
"IR_7827",19.2573659180296,13.8947371350155,15.1645461560896,16.9392726175355
"IR_7829",21.2495072198947,25.1842110572156,19.2084251310468,16.9392726175355
"IR_7830",8.63261230808222,17.3684214187694,1.0109697437393,12.3194709945712
"IR_7831",27.8899782261118,13.8947371350155,14.1535764123503,23.0990081148211
"IR_7832",7.96856520746051,4.34210535469235,0,7.69966937160703
"IR_7833",7.3045181068388,8.68421070938469,11.1206671811324,16.9392726175355
"IR_7834",27.8899782261118,21.7105267734617,31.3400620559185,26.1788758634639
"IR_7835",5.97642390559538,2.60526321281541,1.0109697437393,3.07986774864281
"IR_7836",0,21.7105267734617,13.142606668611,0
"IR_7837",17.2652246161644,6.94736856750775,12.1316369248717,6.15973549728562
"IR_7838",47.1473441441414,45.1578956888004,27.2961830809612,26.1788758634639
"IR_7839",9.96070650932564,11.2894739222001,4.04387897495722,0
"IR_7840",104.255394797608,118.97368671857,87.9543677053195,67.7570904701418
"IR_7842",4.64832970435196,3.47368428375388,9.09872769365374,13.8594048688926
"IR_7843",7.96856520746051,8.68421070938469,12.1316369248717,0
