"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IR_595",8.86261717614246,-6.27614067014932,1.90025268231123,-3.30279269097823,0.000957271289776378,0.0297657039881111
"IR_6983",33.2714740487181,2.82686162838204,0.856073424777185,3.30212519926991,0.00095955229961674,0.0297657039881111
"IR_7077",76.9995507052901,-1.64752050854972,0.50051249523775,-3.291667089684,0.000995954328928434,0.0307380828420552
"IR_744",82.4919673270147,1.13009140143868,0.343615365591084,3.28882673653057,0.00100605935821311,0.03089313584816
"IR_8136",61.8710357782921,1.36203278472612,0.414331112944612,3.28730510978595,0.00101151175944498,0.0309044798865602
"IR_1032",59.2732441528878,1.51351116713042,0.461299660540167,3.2809717773435,0.00103450095098439,0.0314446634045876
"IR_3395",16.4454730212986,3.86484071138596,1.17904757658476,3.27793448554544,0.00104569662570097,0.0314446634045876
"IR_5367",9.25846551645036,-6.33972093316848,1.93472488769499,-3.27680745386056,0.00104987938669922,0.0314446634045876
"IR_8645",8.56912412390069,-6.21769246087195,1.89680236868772,-3.27798644893804,0.00104550414594253,0.0314446634045876
"IR_1277",32.3032573371681,2.09981865595606,0.643451787438011,3.26336595367427,0.00110097253083504,0.0327527964199062
"IR_4656",44.8485770761643,1.74423185019993,0.534856095518396,3.26112362711203,0.00110971645764814,0.0327527964199062
"IR_7525",47.7154642605188,1.38689120164278,0.426080857032005,3.25499533422738,0.00113394228737509,0.033306130952853
"IR_2704",39.6299710441404,2.46558988433378,0.760655305619435,3.24140233574779,0.00118943182325477,0.0347680071412932
"IR_719",11.7406520554467,4.99963565268189,1.54998855686605,3.2255952023225,0.00125711018716648,0.0362238385685887
"IR_4951",27.232071651814,2.42803495870062,0.752615519088788,3.22612927466645,0.00125476668497475,0.0362238385685887
"IR_8596",16.4158073313458,-3.91991896115513,1.21598193321815,-3.223665462513,0.00126561158137274,0.0362967849752181
"IR_8333",7.76452784295927,-6.0772790899767,1.88642692300737,-3.22158203737265,0.00127484959556594,0.0363900729626334
"IR_652",23.7784957048605,-2.37662650254605,0.738338200194139,-3.21888600904184,0.00128689632110391,0.0365622880014568
"IR_1754",40.3281205009644,1.65861420750368,0.517677534143907,3.20395245709582,0.00135554859179297,0.0379803476410197
"IR_7536",62.5700838905883,-1.21163791323709,0.378967040780366,-3.19721184919432,0.00138762973698966,0.0387008660591612
"IR_760",70.0330210277841,1.76442590239834,0.552741800169,3.19213401602496,0.00141225790607633,0.039207890725772
"IR_2402",18.6329898474432,2.7256654492964,0.855129168750159,3.18743126641345,0.00143542569934511,0.039669946600083
"IR_8986",13.9091665552159,-5.41011891791246,1.69859545241874,-3.18505439903813,0.00144726799828703,0.0398162417628287
"IR_8389",32.9827225648032,1.89523692927844,0.597344746211957,3.17276906057519,0.0015099257779797,0.0413529222077322
"IR_3476",36.9471580071265,1.66820367951961,0.527689081222263,3.16133825557963,0.00157046010275992,0.0426267742177693
"IR_7704",10.0592155301096,5.66040171161489,1.79287766674895,3.15716003193847,0.00159313886886385,0.0430501525452987
"IR_8782",14.408731700557,-4.37214084427635,1.38773980517336,-3.15054798311429,0.00162964485452052,0.0438417730773662
"IR_3557",76.058628523318,1.25464654760711,0.400312229044327,3.13416992181914,0.00172341025564531,0.0459235666976081
"IR_4722",32.9327758480842,1.75630562094629,0.560564267136652,3.13310306045273,0.00172968696936715,0.0459235666976081
"IR_5724",87.6153742010491,1.17021850400792,0.375393967628561,3.11730769516736,0.00182510974558021,0.0480375205763103
"IR_1608",84.0290517037492,-1.18991529590031,0.382240241534925,-3.11300372541123,0.00185193680051532,0.0485335161514359
"IR_7226",26.4409160464126,1.87360095273103,0.602447853823203,3.10998029263603,0.0018709982670473,0.0488226157238094
"IR_4078",8.92677857195502,-6.27554459079194,2.01890556748242,-3.10838936296439,0.00188110061874563,0.0488690098887107
"IR_3805",7.36851119974361,-6.00898476274263,1.93510913103689,-3.10524335106767,0.00190122534342183,0.0489241041473032
"IR_7402",18.7777909133502,2.39826708817847,0.77374098026204,3.09957356448441,0.0019379944440935,0.04950842949617
